'-skip-logged'	'Download -skip-logged failed: '
'JaroWinkler'	'Download JaroWinkler failed: None'
'Jinja'	'OK!'
'Jinja2'	'OK!'
'JsLintSolo'	'OK!'
'JsonUtils'	'OK!'
'Jungle .Py Compiler'	'Invalid name: None'
'JyFIT'	'Download JyFIT failed: None'
'KLM'	'Download KLM failed: None'
'Kaa'	'Unpack Kaa failed: Unsupported archive type'
'Kamaelia'	'Download Kamaelia failed: None'
'Karrigell'	'Download Karrigell failed: '
'Killprogram Dictionary'	'Invalid name: None'
'Kiln'	'OK!'
'Kimboot'	'Get package args failed: ImportError: No module named py2exe'
'KirbyBase'	"Download KirbyBase failed: Can't download http://www.netpromi.com/files/KirbyBase-1.5.zip: 404 Not Found"
'Kiwi'	'Unpack Kiwi failed: Unsupported archive type'
'KochMorse'	'OK!'
'LADS'	'Unpack LADS failed: Unsupported archive type'
'LDBackup'	'Download LDBackup failed: None'
'LSystem'	"process failed: Invalid package name: 'dev-python/lsystem-_alpha'"
'LSystem2'	'OK!'
'Lamina'	'Download Lamina failed: '
'LatestVisitors'	"Download LatestVisitors failed: Can't download http://merlimat.net/files/LatestVisitors-0.1.zip: 404 Not Found"
'Lavengro'	'OK!'
'LdapPlugin'	'Download LdapPlugin failed: None'
'Lightbox'	'Get package args failed: ImportError: No module named turbogears.finddata'
'Lightning'	'Download Lightning failed: '
'Lightning Compiler'	'Invalid name: None'
'LinkingToMe'	'OK!'
'Linux Screen Reader'	'Invalid name: None'
'Little-Snob'	'Get package args failed: SyntaxError: from __future__ imports must occur at the beginning of the file'
'Loopy'	'OK!'
'Louie'	'OK!'
'Luke-SDK'	'Download Luke-SDK failed: Unexpected HTML page found at http://prdownload.berlios.de/luke-sdk/luke-sdk-0.7.7.1.tar.gz'
'Lupy'	'Download Lupy failed: None'
'Lyntin'	'Download Lyntin failed: None'
'LyricSearch'	'OK!'
'Lython'	'OK!'
'M2Crypto'	'OK!'
'MARXOSO'	'Download MARXOSO failed: None'
'MDP'	'Download MDP failed: None'
'MDSplus'	'Download MDSplus failed: None'
'MIMEMail'	'Download MIMEMail failed: None'
'MLPY'	'Get package args failed: ImportError: No module named numpy'
'MMTK'	'Download MMTK failed: None'
'MOC'	'OK!'
'MOPPY'	'Download MOPPY failed: None'
'MPD-WebAMP'	'Download MPD-WebAMP failed: '
'MSOffice2PS Python Module'	'Invalid name: None'
'Magic Garden'	'Invalid name: None'
'MagickPy'	'OK!'
'Magot'	'Download Magot failed: '
'MakeBot'	'Download MakeBot failed: None'
'Mako'	'OK!'
'MakoLang'	'OK!'
'MakoPrint'	'OK!'
'Mantissa'	'Get package args failed: ImportError: No module named epsilon'
'Manual de Py2Exe en Espa\xc3\xb1ol'	'Invalid name: None'
'Mappa'	'Download Mappa failed: None'
'Markdown'	'OK!'
'MasTurboZpt'	'Download MasTurboZpt failed: None'
'MathBench'	'Download MathBench failed: MD5 validation failed for MathBench-1.1.0.tar.gz; possible download problem?'
'Mayavi'	'Get package args failed: ImportError: No module named numpy.distutils'
'Mercurial'	'OK!'
'MeshPy'	'OK!'
'Metakit'	'Unpack Metakit failed: Unsupported archive type'
'Mext'	'Download Mext failed: None'
'Migration'	'OK!'
'MindTree'	'OK!'
'MiniMock'	'OK!'
'MinificationWebHelpers'	'OK!'
'Mirra'	'Get package args failed: '
'MochiInterpreter'	'Get package args failed: ImportError: No module named turbogears.finddata'
'Mocky'	'OK!'
'Model-Builder'	'Download Model-Builder failed: MD5 validation failed for Model-Builder-0.4.3.tar.gz; possible download problem?'
'ModelBuilder'	'Download ModelBuilder failed: None'
'ModelingCore'	'Download ModelingCore failed: None'
'MoinMoin'	'Download MoinMoin failed: None'
'MoinPost'	'OK!'
'MojoView'	'OK!'
'MonitManager'	'OK!'
'Monte'	'Download Monte failed: None'
'MontyLingua'	'Download MontyLingua failed: None'
'Mosaic'	'Get package args failed: ImportError: No module named PIL'
'Mother'	'OK!'
'Motherhamster'	'Unpack Motherhamster failed: Unsupported archive type'
'Movable Python'	'Invalid name: None'
'Mtrax'	'Get package args failed: ImportError: No module named numpy'
'MudPy'	'Download MudPy failed: None'
'MuleHashDB'	'Download MuleHashDB failed: Unexpected HTML page found at http://mulehashdb.ufsoft.org/attachment/wiki/WikiStart/MuleHashDB-0.1.1.zip'
'MultiComplete'	'Download MultiComplete failed: None'
'MySQL-python'	'OK!'
'MySpace'	'Download MySpace failed: None'
'MySpace.py'	'Download MySpace.py failed: None'
'Myghty'	'OK!'
'MyghtyUtils'	'OK!'
'NAGpy'	'Unpack NAGpy failed: Empty package encountered: /var/www/localhost/htdocs/pypicache/downloads/nagpy.tar.gz'
'NZMATH'	'OK!'
'NetCIDR'	'OK!'
'NetCube'	'OK!'
'Nevow'	'Get package args failed: ImportError: No module named twisted.python'
'Next Utility'	'Invalid name: None'
'NodeBox'	'Unpack NodeBox failed: Unsupported archive type'
'NokiaRTTTL'	'Download NokiaRTTTL failed: None'
'NonMockObjects'	'OK!'
'NoseDjango'	'OK!'
'NoseGAE'	'OK!'
'NoseGrowl'	'OK!'
'NoseLint'	'OK!'
'NoseXML'	'OK!'
'NoseXUnit'	'OK!'
'NotificationFramework'	'Download NotificationFramework failed: None'
'Numdisplay'	'Download Numdisplay failed: None'
'Numeric'	'Download Numeric failed: None'
'Nwu'	'Unpack Nwu failed: Empty package encountered: /var/www/localhost/htdocs/pypicache/downloads/nwu-latest.tar.gz'
'OHM'	'OK!'
'OOoPy'	'Download OOoPy failed: None'
'OSG-Gratia-Viewer'	'OK!'
'OWSLib'	'OK!'
'ObDict'	'OK!'
'ObjectListView'	'OK!'
'ObjectRoles'	'OK!'
'ObjectStateTracer'	'Get package args failed: ImportError: No module named turbogears.finddata'
'Ocean'	'Download Ocean failed: None'
'Oort'	'OK!'
'OortPub'	'OK!'
'OpenAlea'	'Download OpenAlea failed: None'
'OpenBayes'	'OK!'
'OpenEXR'	'OK!'
'OpenGL'	'Download OpenGL failed: None'
'OpenGLContext'	'Download OpenGLContext failed: None'
'OpenOPC'	'Download OpenOPC failed: None'
'OpenOpt'	'Download OpenOpt failed: None'
'OpenPGP'	'OK!'
'OpenSVNcmd'	'Download OpenSVNcmd failed: None'
'OpenSwarm'	'Download OpenSwarm failed: None'
'OpenTAL'	'Download OpenTAL failed: None'
'OpenplansBoot'	'OK!'
'Orchid'	'OK!'
'Ordered Dictionary'	'Invalid name: None'
"Original Gamer's Client"	'Invalid name: None'
'P(x)'	'Invalid name: None'
'P4Client'	'pkgsys.setup_args failed: Unrecognized license: Freeware'
'P4D Langlet'	'Invalid name: None'
'P4DTI'	'Download P4DTI failed: None'
'P4Python'	'Download P4Python failed: None'
'PAF'	'Download PAF failed: None'
'PASP'	'Download PASP failed: None'
'PDIS-XPath'	'OK!'
'PEAK'	'Download PEAK failed: '
'PEAK-Rules'	'OK!'
'PGAPy'	'Download PGAPy failed: None'
'PIL'	'Download PIL failed: None'
